RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0
100399349,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,30,1865.45,2045.57,,1958.15,3916.3,37805.5
100533891,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,31,1901.64,2065.68,,1985.77,3971.54,37805.5
100530045,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,32,1910.45,2160.16,,2037.1,4074.2,37805.5
100558031,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,33,2037.09,2304.09,,2172.83,4345.67,37805.5
100560657,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,34,2047.38,2497.08,,2274.96,4549.93,37805.5
100560491,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,35,3086.18,1937.85,,2514.28,5028.57,37805.5
100394292,203,Junior Varsity Female,Merrell,2,Advanced,10,-1,2482.6,,,2483.88,2483.88,38419.36
100394307,203,Junior Varsity Female,Merrell,2,Advanced,10,1,1869.31,1932.95,,1901.93,3803.86,38419.36
100395045,203,Junior Varsity Female,Merrell,2,Advanced,9,2,1904.71,1934.94,,1921.38,3842.76,38419.36
100443534,203,Junior Varsity Female,Merrell,2,Advanced,11,3,1907.85,1946.05,,1927.66,3855.33,38419.36
100542123,203,Junior Varsity Female,Merrell,2,Advanced,10,4,1909.68,2000.97,,1956.48,3912.96,38419.36
100393713,203,Junior Varsity Female,Merrell,2,Advanced,10,5,1989.53,2014.33,,2002.69,4005.38,38419.36
100548376,203,Junior Varsity Female,Merrell,2,Advanced,9,6,1986.6,2017.61,,2003.86,4007.72,38419.36
100464427,203,Junior Varsity Female,Merrell,2,Advanced,11,7,2108.17,2176.66,,2143.7,4287.41,38419.36
100461442,203,Junior Varsity Female,Merrell,2,Advanced,9,8,2166.74,2166.84,,2168.63,4337.27,38419.36
100429704,203,Junior Varsity Female,Merrell,2,Advanced,9,9,2032.12,2349.82,,2192.68,4385.36,38419.36
100393726,203,Junior Varsity Female,Merrell,2,Advanced,12,10,2153.27,2313.1,,2233.98,4467.96,38419.36
100486081,203,Junior Varsity Female,Merrell,2,Advanced,10,11,2192.34,2396.42,,2295.6,4591.2,38419.36
100394321,203,Junior Varsity Female,Merrell,2,Advanced,11,12,2404.5,2484.76,,2446.01,4892.03,38419.36
100439748,203,Junior Varsity Female,Merrell,2,Advanced,11,13,2372.98,2553.58,,2464.62,4929.25,38419.36
100393688,103,Advanced Middle School Male,Merrell,2,Advanced,6,1,1610.13,1617.71,,1614.73,3229.46,33282.24
